Actuals,state
1208,Alabama
4742,Alaska
1069,Arkansas
3379,Arizona
9734,California
5198,Colorado
1293,Connecticut
1417,Delaware
7403,District of Columbia
2662,Florida
430,Georgia
3750,Hawaii
1668,Idaho
489,Illinois
1859,Indiana
645,Iowa
282,Kansas
272,Kentucky
1883,Louisiana
743,Massachusetts
295,Maine
7292,Maryland
433,Michigan
612,Minnesota
206,Missouri
590,Mississippi
610,Montana
1009,North Carolina
945,North Dakota
210,Nebraska
153,New Hampshire
653,New Jersey
9230,New Mexico
12386,Nevada
1047,New York
460,Ohio
138,Oklahoma
1028,Oregon
150,Pennsylvania
648,Rhode Island
1809,South Carolina
402,South Dakota
1043,Tennessee
743,Texas
322,Utah
720,Virginia
401,Vermont
1133,Washington
837,Wisconsin
544,West Virginia
308,Wyoming
