,Motor Vehicle Theft Offenses
CA0300000,97
CA0300100,1231
CA0300200,72
CA0300300,264
CA0300400,355
CA0300500,74
CA0300600,19
CA0300700,86
CA0300800,360
CA0300900,504
CA0301000,329
CA0301100,22
CA0301200,145
CA0301300,16
CA0301400,147
CA0301500,251
CA0301600,103
CA0301700,58
CA0301800,27
CA0301900,1343
CA0302000,31
CA0302100,99
CA0302200,183
CA0302300,0
CA0302400,276
CA0302500,54
CA0302600,163
CA0302700,2
CA030290X,0
CA0303200,0
CA030340X,0
CA030350X,56
CA030360X,27
CA030390X,39
CA030420X,35
CA030430X,73
CA030470X,8
CA030480X,12
CA030490X,25
CA0309600,0
CA0309700,8
CA0309900,107
